Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"dataBaseConnection.UpdateOracleQuery.conectsql(""bdistribute"", ""12345678"", Query)",Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.434s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\BankAccountReviewStatus.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.001s,PASSED
"file.write(""تمت المراجعة"")",Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.003s,PASSED
"Query = "" UPDATE requests SET EBC_CHK_Name = 1 WHERE REQ_CODE ="" + ""'"" + ReqCode + ""'""",Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.001s,PASSED
"dataBaseConnection.UpdateOracleQuery.conectsql(""bdistribute"", ""12345678"", Query)",Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.310s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ResultOfAccountNameReview.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.001s,PASSED
"file.write(""صحيح"")",Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.002s,PASSED
"Query = "" UPDATE requests SET EBC_CHK_ACCNUM = 1 WHERE REQ_CODE ="" + ""'"" + ReqCode + ""'""",Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.001s,PASSED
"dataBaseConnection.UpdateOracleQuery.conectsql(""bdistribute"", ""12345678"", Query)",Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:23,0.268s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ResultOfAccountnumberReview.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:23,2019-10-10 11:03:23,0.001s,PASSED
"file.write(""صحيح"")",Chrome 77.0.3865.90,,2019-10-10 11:03:23,2019-10-10 11:03:23,0.002s,PASSED
,,,,,,
Test Cases/Reusable/Assertion/ReqOperationAssertionMethod,Chrome 77.0.3865.90,,2019-10-10 11:03:23,2019-10-10 11:03:23,0.781s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:23,2019-10-10 11:03:23,0.001s,PASSED
ExpectedResult = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:23,2019-10-10 11:03:23,0.000s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:23,2019-10-10 11:03:23,0.004s,PASSED
ReqCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:23,2019-10-10 11:03:23,0.001s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ReqCode.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:23,2019-10-10 11:03:23,0.002s,PASSED
ReqCode = file.readLines(),Chrome 77.0.3865.90,,2019-10-10 11:03:23,2019-10-10 11:03:23,0.004s,PASSED
"Query = ""SELECT REQ_OPERATION FROM REQUESTS WHERE REQ_CODE = "" + ""'"" + ""ReqCode"" + ""'""",Chrome 77.0.3865.90,,2019-10-10 11:03:23,2019-10-10 11:03:23,0.001s,PASSED
"ExpectedResult = ""UPD""",Chrome 77.0.3865.90,,2019-10-10 11:03:23,2019-10-10 11:03:23,0.001s,PASSED
"dataBaseConnection.ExecuteOracleQueryWithExpectedResult.conectsql(""SupplyCard"", ""smart999"", Query, ExpectedResult)",Chrome 77.0.3865.90,,2019-10-10 11:03:23,2019-10-10 11:03:23,0.342s,PASSED
,,,,,,
Test Cases/General/CloseMethod/CloseBrowserMethod,Chrome 77.0.3865.90,,2019-10-10 11:03:23,2019-10-10 11:03:25,1.608s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,2019-10-10 11:03:24,2019-10-10 11:03:25,1.278s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenBakerySystemByCommodityAuthorityEmployeeMethod,Chrome 77.0.3865.90,,2019-10-10 11:03:25,2019-10-10 11:03:35,10.067s,PASSED
