Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ReqCode.txt),Chrome 74.0.3729.169,,2019-09-26 10:43:45,2019-09-26 10:43:45,0.001s,PASSED
"FileData = toString().replaceAll(""\p{P}"", """")",Chrome 74.0.3729.169,,2019-09-26 10:43:45,2019-09-26 10:43:45,0.002s,ERROR
,,,,,,
Test Cases/General/OpenMethods/OpenBankAccDetailsScreenByCommunityEmpMethod,Chrome 74.0.3729.169,,2019-09-26 10:43:45,2019-09-26 10:43:45,0.822s,PASSED
"click(findTestObject(""ReviewAddBankAcc/Page_/DetailsButton""))",Chrome 74.0.3729.169,,2019-09-26 10:43:45,2019-09-26 10:43:45,0.578s,PASSED
,,,,,,
Test Cases/Reusable/Assertion/AssertOnEBCActionByCommunityEmployeeMethod,Chrome 74.0.3729.169,,2019-09-26 10:43:45,2019-09-26 10:43:46,0.638s,ERROR
EBCTableData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:43:46,2019-09-26 10:43:46,0.002s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:43:46,2019-09-26 10:43:46,0.002s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\BankAccountReviewStatus.txt),Chrome 74.0.3729.169,,2019-09-26 10:43:46,2019-09-26 10:43:46,0.005s,PASSED
BankAccountReviewstatus = file.readLines(),Chrome 74.0.3729.169,,2019-09-26 10:43:46,2019-09-26 10:43:46,0.005s,ERROR
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/AcceptBankAccRequestByCommunityEmpMethod,Chrome 74.0.3729.169,,2019-09-26 10:43:46,2019-09-26 10:43:47,0.498s,PASSED
"click(findTestObject(""ReviewAddBankAcc/Page_/AcceptButton""))",Chrome 74.0.3729.169,,2019-09-26 10:43:46,2019-09-26 10:43:47,0.157s,PASSED
,,,,,,
Test Cases/General/CloseMethod/CloseBrowserMethod,Chrome 74.0.3729.169,,2019-09-26 10:43:47,2019-09-26 10:43:48,1.101s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,2019-09-26 10:43:47,2019-09-26 10:43:48,1.093s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenBakerySystemByDirectorateEmployeeMethod,Chrome 74.0.3729.169,,2019-09-26 10:43:48,2019-09-26 10:44:01,12.964s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,2019-09-26 10:43:48,2019-09-26 10:43:52,3.778s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/login.jsf"")",Chrome 74.0.3729.169,,2019-09-26 10:43:52,2019-09-26 10:43:56,4.522s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-09-26 10:43:56,2019-09-26 10:43:57,1.136s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_/input__username""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(1, 1))",Chrome 74.0.3729.169,,2019-09-26 10:43:57,2019-09-26 10:43:57,0.260s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_/input__password""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(2, 1))",Chrome 74.0.3729.169,,2019-09-26 10:43:57,2019-09-26 10:43:58,0.250s,PASSED
"click(findTestObject(""Object Repository/Login/Page_/span_""))",Chrome 74.0.3729.169,,2019-09-26 10:43:58,2019-09-26 10:44:01,2.975s,PASSED
waitForPageLoad(3),Chrome 74.0.3729.169,,2019-09-26 10:44:01,2019-09-26 10:44:01,0.020s,PASSED
,,,,,,
